Powtorzenia: 
Name IDC_E_FVE                             	ID: 1013-2
Name IDC_E_KFVE                            	ID: 1014-2
Name IDC_CDN_REJESTR                       	ID: 1016-2
Name IDC_RAPORTROZNIC                      	ID: 1017-2
Name IDC_E_PZ                              	ID: 1018-2
Name IDC_E_KPZ                             	ID: 1019-2
Name IDC_CDN_KSPRZEDAZ                     	ID: 1020-2
Name IDC_CDN_KZAKUP                        	ID: 1021-2
Name IDC_CDN_RJAKSERIA                     	ID: 1022-2
Name IDC_E_KO                              	ID: 1023-2
Name IDC_CREATETOW                         	ID: 1024-2
Name IDC_E_ZA                              	ID: 1024-2
Name IDC_PZAMSRCH                          	ID: 1024-2
Name IDC_CDN_SKIPGOT                       	ID: 1024-2
Name IDC_ONLYMODIFIED                      	ID: 1024-2
Name IDC_SEP_TAB                           	ID: 1024-2
Name IDC_EXP_INFORMACJA                    	ID: 1024-2
Name IDC_FROM_KARTOTEKA                    	ID: 1024-2
Name IDC_EXP_KONTAKT                       	ID: 1025-2
Name IDC_OSOBNETRANS                       	ID: 1025-2
Name IDC_EP_IDSCHEMATU                     	ID: 1026-2
Name IDC_S_AKTYWNE                         	ID: 1026-2
Name IDC_EXP_NOTATKA                       	ID: 1026-2
Name IDC_S_NIEAKTYWNE                      	ID: 1027-2
Name IDC_EXP_ZADANIE                       	ID: 1027-2
Name IDC_REJESTR                           	ID: 1027-2
Name IDC_TOW_GLOSOWOSC                     	ID: 1028-2
Name IDC_BYNRZLECENIA                      	ID: 1029-2
Name IDC_TECH_GRUPA                        	ID: 1029-2
Name IDC_TECH_TYP                          	ID: 1030-2
Name IDC_NRZLECENIA                        	ID: 1031-2
Name IDC_ZLEC_SERIA                        	ID: 1031-2
Name IDC_RADIO_IZR                         	ID: 1032-2
Name IDC_ZLEC_KKW_SKRYPT                   	ID: 1032-2
Name IDC_TTW_IDTOWARU                      	ID: 1033-2
Name IDC_NOTHING                           	ID: 1033-2
Name IDC_F_SAMSUNG                         	ID: 1033-2
Name IDC_F_FFFPSAP                         	ID: 1033-2
Name IDC_F_CFIXLS                          	ID: 1034-2
Name IDC_TYPE_EAN                          	ID: 1034-2
Name IDC_F_BISSDF                          	ID: 1034-2
Name IDC_NB_ALL                            	ID: 1034-2
Name IDC_RADIO_IZ                          	ID: 1034-2
Name IDC_KW_I                              	ID: 1034-2
Name IDC_TOIGNORE                          	ID: 1035-2
Name IDC_F_INSERTS4                        	ID: 1035-2
Name IDC_TYPE_KOD                          	ID: 1035-2
Name IDC_F_DHLLP                           	ID: 1035-2
Name IDC_I_CFIXML                          	ID: 1035-2
Name IDC_NB_NETTO                          	ID: 1035-2
Name IDC_KW_II                             	ID: 1035-2
Name IDC_EX_CENNIK                         	ID: 1036-2
Name IDC_SELECTTOWAR                       	ID: 1036-2
Name IDC_F_SAPPZ                           	ID: 1036-2
Name IDC_F_DELECTA                         	ID: 1036-2
Name IDC_NB_BRUTTO                         	ID: 1036-2
Name IDC_KW_III                            	ID: 1036-2
Name IDC_F_AUTO                            	ID: 1037-2
Name IDC_KW_IV                             	ID: 1037-2
Name IDC_EX_TYLKOAKTUALIZACJA              	ID: 1038-2
Name IDC_PASSWORD                          	ID: 1039-2
Name IDC_EAN                               	ID: 1043-2
Name IDC_ERRORONPOS                        	ID: 1044-2
Name IDC_CANNADREALIZE                     	ID: 1045-2
Name IDC_SEP_SPACE                         	ID: 1045-2
Name IDC_ALWAYSZAM                         	ID: 1046-2
Name IDC_SAVEFILE                          	ID: 1047-2
Name IDC_SEP_SRED                          	ID: 1047-2
Name IDC_TABNAME                           	ID: 1050-2
Name IDC_EDIT_SEP                          	ID: 1050-2
Name IDC_EXP_DATA_OD                       	ID: 1050-2
Name IDC_CDN_NKASY                         	ID: 1052-2
Name IDC_CDN_KJAKVENDO                     	ID: 1053-2
Name IDC_COMBO_AMADEO                      	ID: 1054-2
Name IDC_SEP_TEKSTU                        	ID: 1057-2
Name IDC_EXP_DATA_DO                       	ID: 1057-2
Name IDC_FORMAT_EDIT                       	ID: 1102-2
Name IDC_TR_ROK                            	ID: 2017-2
Name IDC_TPG_IDPODGRUPY                    	ID: 2069-2
Name IDC_TGW_IDGRUPY                       	ID: 2070-2
Name IDC_RODZAJ                            	ID: 3039-2
Name IDC_DODAJ                             	ID: 3781-2
Name IDC_FBELKA                            	ID: 4129-2
Name IDC_TEST                              	ID: 6094-2
Name IDC_POCZTAPL_DATANADANIA              	ID: 6141-2
Name IDC_IE_OPIS                           	ID: 7138-2
Name IDC_IE_EAN                            	ID: 7139-2
Name IDC_LOGIN                             	ID: 10001-2
Name IDC_REFRESH                           	ID: 17116-2
Name IDC_SEP                               	ID: 19189-2
Name IDC_R_PRINT_PDF                       	ID: 19629-2
Name IDC_R_PRINT_BLP                       	ID: 19630-2
Name IDC_R_PRINT_ZBLP                      	ID: 19631-2
Name IDC_USEPZAMNR                         	ID: 27033-2
Name IDC_SEP_PRZEC                         	ID: 27033-2
Name IDC_C_LACZOB_PZ                       	ID: 27033-2
Name IDC_EXP_WREALIZACJI                   	ID: 27033-2
Name IDC_EXP_WYKONANE                      	ID: 27034-2
Name IDC_EXP_DHL                           	ID: 27035-2
Name IDC_EXP_ANULOWANE                     	ID: 27035-2
Name IDC_FROM_NAZWAPLIKU                   	ID: 27036-2
Name IDC_EXP_SHENKER                       	ID: 27036-2
Name IDC_FROM_SCHOWEK                      	ID: 27037-2
Name IDC_EXP_UPS                           	ID: 27037-2
Name IDC_EXP_OPEK                          	ID: 27038-2
Name IDC_EXP_DPD                           	ID: 27039-2
Name IDC_EXP_ATOLSAP                       	ID: 27048-2
Name IDC_S_NIESKOJARZONE                   	ID: 27049-2
Name IDC_EXP_ATOLSAP_DOST                  	ID: 27049-2
Name IDC_S_SKOJARZONE                      	ID: 27050-2
Name IDC_MODDATE                           	ID: 27052-2
Name IDC_DOL                               	ID: 27053-2
Name IDC_FILETITLE2                        	ID: 27054-2
Name IDC_FILETITLE3                        	ID: 27055-2
Name IDC_TXT                               	ID: 27061-2
Name IDC_STATIC_KLUCZ                      	ID: 27063-2
Name IDC_WARTOSC                           	ID: 27065-2
Name IDC_EXP_PLIK                          	ID: 27065-2
Name IDC_EXP_TEMAT                         	ID: 27066-2
Name IDC_EXP_LOKALIZACJA                   	ID: 27067-2
Name IDC_MAP                               	ID: 27067-2
Name IDC_EXP_DESCRIPTION                   	ID: 27068-2
Name IDC_COMBO_VENDO                       	ID: 27070-2
Name IDC_ROK                               	ID: 27072-2
Name IDC_T_CSV                             	ID: 27076-2
Name IDC_T_EXCEL                           	ID: 27077-2
Name IDC_SEP_SREDNIK                       	ID: 27078-2
Name IDC_SEP_PRZECINEK                     	ID: 27079-2
Name IDC_SEP_TABULATOR                     	ID: 27080-2
Name IDC_POLE                              	ID: 27081-2
Name IDC_USUN                              	ID: 27085-2
Name IDC_IGNOREHEADER                      	ID: 27086-2
Name IDC_C_STRUKT_DOM                      	ID: 27088-2
Name IDC_R_STRUK_AKT                       	ID: 27089-2
Name IDC_R_STRUK_RELACJA                   	ID: 27090-2
Name IDC_R_BRAKOB_POMIN                    	ID: 27091-2
Name IDC_R_STRUK_WERSJA                    	ID: 27091-2
Name IDC_R_BRAKOB_BLAD                     	ID: 27092-2
Name IDC_R_STRUK_POMIN                     	ID: 27092-2
Name IDC_BLADPRZERYWA                      	ID: 27093-2
Name IDC_IMP_ALL                           	ID: 27094-2
Name IDC_IMP_STRUKTURY                     	ID: 27095-2
Name IDC_IMP_MATERIALY                     	ID: 27096-2
Name IDC_DIRNAME                           	ID: 27097-2
Name IDC_UPS_AUTOWYDRUK                    	ID: 27098-2
Name IDC_R_MAT_AKT                         	ID: 27099-2
Name IDC_R_UPS_GIF                         	ID: 27099-2
Name IDC_R_UPS_EPL                         	ID: 27100-2
Name IDC_UPS_ZAPISETYKIET                  	ID: 27101-2
Name IDC_R_MAT_POMIN                       	ID: 27102-2
Name IDC_KRECHA                            	ID: 27102-2
Name IDC_KODWGMAKRA                        	ID: 27103-2
Name IDC_MAKROKODU                         	ID: 27104-2
Name IDC_NOEXIST_POMIN                     	ID: 27105-2
Name IDC_NOEXIST_UTWORZ                    	ID: 27106-2
Name IDC_NOEXIST_BLAD                      	ID: 27107-2
Name IDC_R_WSZYSTKIE                       	ID: 27108-2
Name IDC_DHL_AUTOWYDRUK                    	ID: 27110-2
Name IDC_DHL_ZAPISETYKIET                  	ID: 27111-2
Name IDC_SCHENKER_KUR_DZIEN                	ID: 27113-2
Name IDC_SCHENKER_KUR_H_OD                 	ID: 27114-2
Name IDC_SCHENKER_KUR_H_DO                 	ID: 27115-2
Name IDC_RABEN_CHARTOW                     	ID: 27116-2
Name IDC_SCHENKER_KLIENT_DZIEN             	ID: 27116-2
Name IDC_RABEN_ZAL_DZIEN                   	ID: 27117-2
Name IDC_SCHENKER_KLIENT_H_OD              	ID: 27117-2
Name IDC_KODPOCZTOWY                       	ID: 27118-2
Name IDC_ID_ZBIORU                         	ID: 27118-2
Name IDC_SCHENKER_KLIENT_H_DO              	ID: 27118-2
Name IDC_R_PREFEROWANE                     	ID: 27119-2
Name IDC_CH_ALLOWS_COD                     	ID: 27120-2
Name IDC_TOW_BAZA                          	ID: 27120-2
Name IDC_CH_ACCEPTS_CASH                   	ID: 27121-2
Name IDC_TOW_WZORZEC                       	ID: 27121-2
Name IDC_CH_ACCEPTS_CCARD                  	ID: 27122-2
Name IDC_R_WPOBLIZU                        	ID: 27123-2
Name IDC_TECH_BAZA                         	ID: 27123-2
Name IDC_GB_LOKALIZACJA                    	ID: 27124-2
Name IDC_TOW_NUMER                         	ID: 27124-2
Name IDC_ZLEC_ILOSC                        	ID: 27125-2
Name IDC_TPCD_BOOK                         	ID: 27126-2
Name IDC_GORA                              	ID: 27127-2
Name IDC_FMTLABEL                          	ID: 27127-2
Name IDC_TPCD_AVLB                         	ID: 27128-2
Name IDC_TPCD_THRE                         	ID: 27129-2
Name IDC_TPCD_FUND                         	ID: 27130-2
